[FILL] a/the	PART	QUANTIFIER1	[FILL] is a part of	QUANTIFIER2	WHOLE	[FILL] for	FOR/PURPOSE	[FILL] by	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
a	cell wall		is a part of a		plant cell	for	supporting and protecting the cell membrane					# for/purpose is messy. 		6c0f-ee50-8f2c-401e	
	chloroplast	is	a part of a		plant cell							#517		f1b0-1ed6-289e-c065	
	fruit		is a part of a		plant; tree									e5ad-f4c8-aca4-466f	
	roots		are a part of a		plant; tree									6cdd-9626-9859-7279	
	plants		are part of the	bilogical kingdom	Plantae							#2309 ; taxonomic		e82a-92a7-2446-5fde	
a	thorn	is	a part of	some	plants							#2127		4da2-ef1d-0184-bd32	
a	claw	sometimes	is a part of a		predator							# Q 145, refactor quantifier for readability		59ba-92bd-94af-92fd	
	long ears	are	a part of a		rabbit							#2085		ad4a-8ca1-6b50-8927	
	fertilization	is	a part of		reproduction							#1064	Moved to STAGE-IN-PROCESS	0c20-6fdf-dcef-e1a9	
	gamete developement	is	a part of		reproduction							#1064	Moved to STAGE-IN-PROCESS	ee3b-5f5a-de5a-8ce8	
	observations; data	are	a part of the		results of an experiment							#525		818d-dd35-8a71-3881	
	wheels		are a part of		roller skates									0b44-5bde-7e62-3b5c	
a	rough surface		is a part of		sandpaper									a67b-fecc-2c14-cefb	
	blubber	is often	a part of		sea mammals	for	keeping warm	by	providing thermal insulation			# Q 968		e069-66e7-52de-03e7	
	flippers		are a part of a 		sea turtle									0149-ae3f-4139-1e0b	
	length		is a part of		size									21f2-7587-e5e3-e55c	
	hair; fur	is 	a part of		skin	for	protection; keeping warm					# Q 1570		c72d-59a5-2ef3-0271	
a	shell	is	a part of a 		snail	for	protecting the snail					# Q 1102		e4da-e98f-0e23-2742	
	bacteria	is	a part of		soil							#1229		a696-287a-78cf-6b8a	
	moons; comets; planets		are part of the		solar system							# Q 2292		9747-3781-d795-3ce2	
a	foot	is	a part of		some animals	for	walking					#1466		25f9-09c2-3469-a2f8	
	metamorphosis	is	a part of		some animals' life cycles							#1079	Moved to STAGE-IN-PROCESS	8075-e3d0-63d5-cd16	
	whiskers	are	a part of		some fish	for	feeling					# Q 1180		28be-f4f5-1057-562f	
a	tail	is	a part of a 		sperm cell							# Q 2221		a910-a3e8-14fa-3f15	
a	burner	is	a part of a 		stove							#1084		7871-bd79-e7cc-a799	
	tinted lenses	are	a part of		sunglasses	for	protecting the eyes	by	reflecting light			# Q 1901		a33f-4863-f3b8-8871	
a	lens	is	a part of a		telescope							#1880		70de-f5de-18c7-7030	
	objects in an environment		are a part of		that environment							# Q 1525		a25b-83dd-c184-0d1b	
an	organism's shelter	is	a part of		that organism's environment							#2026		d883-1167-2927-a7f7	
	paramecia		are a part of		the biological kingdom Protista							#3062 ; taxonomical		9122-b581-6f32-12ca	
the	bladder		is a part of		the body							#3230		adb5-e834-4444-5e67	
the	blood vessels		are a part of		the body							#3230		655d-4ced-368b-5069	
	bone cells	are	a part of		the body							#1483		c049-ad89-f8b6-65d5	
	internal organs	are	a part of		the body							#836		07a1-a8a2-97ac-1866	
the	nervous system	is	a part of		the body					of an animal		#738		356b-17e1-59ba-230b	
a	wrist	is	a part of		the body							#1665		ac78-13ef-41eb-82ab	
a	body system		is a part of		the body; an animal							#2813		9d58-09eb-11bc-2be6	
	decomposition	is	a part of		the carbon cycle							#1010	Moved to STAGE-IN-PROCESS	b087-89c4-9efa-b26e	
	oxygen	is	a part of		the carbon dioxide-oxygen cycle							#527	Moved to STAGE-IN-PROCESS	89d3-eb72-c42e-6f2f	
the	heart	is	a part of		the circulatory system							#2015		aac5-9b7d-012e-9bac	
the	colon		is a part of		the digestive system									7ae6-a693-1563-5bac	
the	liver		is a part of		the digestive system							#2955		3bf2-b31e-b15c-fd05	
the	pancreas		is a part of		the digestive system							#25999		3b6f-b409-0853-c5e6	
the	small intestine	is	a part of		the digestive system							#1866		f653-454d-6b95-5714	
	visible light		is a part of		the electromagnetic spectrum							#3103		bd09-e479-fdad-f2de	
the	hypothalamus gland		is a part of		the endocrine system							#3080		98b8-98a2-26ca-8eff	
the	pituitary gland		is a part of		the endocrine system							#3080		d164-2e0c-6029-a129	
the	thyroid gland		is a part of		the endocrine system							#3080		4f30-5c33-289c-cb13	
	air		is a part of		the environment							#3252		c1ee-6fac-7007-b120	
	soil	is	a part of		the ground					outside		#1346		004d-1843-0f4a-8ad4	
the	skin		is a part of		the integumentary system							#3349		1d47-e53f-f83b-45a8	
	adulthood	is	a part of		the life cycle							#751	Moved to STAGE-IN-PROCESS	e222-9ed6-45d6-12f7	
	growth	is	a part of		the life cycle							#1064	Moved to STAGE-IN-PROCESS	a451-883b-ec76-d0b3	
the	continental shelf	is	a part of		the ocean							#476		6a9b-a68f-335c-2a51	
the	diaphragm		is a part of		the respiratory system							#3077		4304-de86-44cb-bd22	
the	lungs	are	a part of		the respiratory system							#1292		abc0-1f2b-3484-cf27	
the	mouth		is a part of		the respiratory system							#3077		c441-c5a7-5f2c-23b1	
the	nose		is a part of		the respiratory system							#3077		30a3-5bb3-b571-89ec	
	coal	sometimes	is a part of		the rock cycle							#419	Moved to STAGE-IN-PROCESS	3f37-e32e-cf89-8948	
the	skeleton	is	a part of		the skeletal system							#1356		290b-dd26-b289-0cff	
the	high tide	is	a part of		the tide cycle							#1038	Moved to STAGE-IN-PROCESS	5328-5998-909d-d64b	
the	low tide	is	a part of		the tide cycle							#1038	Moved to STAGE-IN-PROCESS	b215-d7ed-9939-404a	
	condensation	is	a part of		the water cycle							#1021	Moved to STAGE-IN-PROCESS	8e2a-2018-51f0-ae84	
	evaporation	is	a part of		the water cycle							#1019	Moved to STAGE-IN-PROCESS	7cc2-cadd-f58b-76b6	
	precipitation	is	a part of		the water cycle							#1021	Moved to STAGE-IN-PROCESS	39c2-2c6c-9bd6-4d50	
	winter		is a part of		the year									1868-6ec4-8e36-8c79	
	bark	is	a part of a		tree							#1		555d-d839-0a6b-4a52	
a	leaf	is	a part of a		tree							#577		7f97-3a19-456e-8fdc	
a	trunk		is a part of a		tree	for	supporting the tree					#507		a036-70b7-7cb6-d950	
	gills		are a part of		trout							# Q 58		ce79-c43f-0cd5-ed36	
a	shell	is	a part of a 		turtle	for	protecting the turtle					# Q 1102		7a5a-d5b3-8af9-29c1	
a	backbone	is	a part of a		vertebrate animal							#1369		ed5f-9928-2947-21bc	
a	stinger	is	a part of a		wasp							#1099		8f77-75b9-8616-35c0	
a	seashell	is sometimes	a part of a		water animal							# Q 1783		ed93-78bd-8d20-1b58	
a	piece		is a part of a		whole							# smaller part?		18b6-e242-49e7-e95b	
	down		is part of a		young bird									56e3-240f-2f97-378b	
	eyes	are usually	part of		an animal	for	seeing					# Q 391, refactor?		e0eb-f67a-6f99-b25b	
	spots	are	a part of	some	organisms									71c6-b4b2-2396-a2d9	
	wings	are	a part of	some	insects									17ba-a6c1-1253-47de	
a	branch	is	a part of a		tree									f691-575e-e12f-47ac	
a	solvent	is	a part of a		solution									7c12-75e1-a8e3-d2c8	
a 	solute	is	a part of a		solution									bf73-0bde-4075-76fe	
a	corn kernel	is	a part of a 		corn									fae2-793f-a03f-992d	
	hair	is often	a part of		an animal									0012-cca4-0b5a-01ba	
a	needle	is	a part of		conifer trees									000d-f94c-b775-2cf9	
	genetics	is	a part of		biology									4460-67d9-998d-4d22	
the	outer electron shell	is	a part of		the electron configuration									b0ff-5ab7-5fee-6cd1	
	the body	is	a part of		an organism									b1f1-7ccd-7fb4-5fa6	
a	cardboard cone	is	a part of		a radio speaker									a6af-e81f-4107-b0d5	
	microwave	is	a part of		the electromagnetic spectrum									3caa-30ec-fdf2-990f	
a	convex lens	is	a part of		telescope									5f32-68dd-7dbc-34b6	
a	halo	is	a part of		a galaxy									6700-1965-7952-abf5	
	greenhouse gases	are	a part of		the atmosphere									7d84-2263-9ae5-822c	
	oceans	are	a part of		the hydrosphere					on earth				f608-e2e9-5ab0-265f	
	plants	are	a part of		the environment									83cb-1e27-da4d-fe7e	
	afternoon	is	a part of		day time									c942-f3dd-689d-caf7	
	mountainside	is	a part of		valley									2ce3-f3dd-fe12-8c75	
a	gasoline engine	is 	a part of		gasoline lawn mower									2340-dde0-4132-fccc	
a	car engine	is	a part of		a car									e625-b411-690a-92ec	
	heating elements	are usually	a part of		an oven									3bf4-ed34-1596-1223	
a	hemisphere	is	a part of		Earth									e69e-2f0a-37ff-2268	
	electrons	are	a part of		an atom									fd2a-39da-a450-4757	
	neutrons	are	a part of		the nucleus									8b86-da39-ae3f-0e2d	
	nucleus	is	a part of		an atom									468a-99e3-ec47-c293	
	vegetation	is 	a part of		the biosphere									8d32-697b-0f5e-9428	
	soil	is 	a part of		the lithosphere									e269-a84d-abad-87b5	
	fossil fuel	is 	a part of		the lithosphere									66c6-7f39-f5b3-2037	
	moving water on earth	is 	a part of		water cycle									fc5f-2782-f40d-59a5	
the	sides of the slope	are	a part of		the slope									c6f0-d83a-e599-9d3d	
	rock	is	a part of		the landform									80e5-695c-ec60-ab38	
	anatomy	is 	a part of		biology									1429-e489-e3d4-af65	
	how Earth's environment changed	is	a part of		the history of Earth's environment									13d8-6a97-871c-bbad	
a	slope	is	a part of		a mountain; hill									0048-8141-197d-cf0c	
	erosion	is 	a part of		geological process									2451-1024-b731-dcbd	
	deposition	is 	a part of		geological process									5a6c-0661-2bd6-0072	
the	formation of metamorphic rock	is	a part of		the formation stage					in the rock cycle		movetoSTAGE-IN-PROCESS	SW 5277-f36c-e774-28b6	1f48-2648-32b3-a82e	
a	capsule	is	a part of		a bacterium									eb83-62bf-8bbf-f240	
an	endospore	is 	a part of		a bacterium									7e42-b991-545e-a85d	
a	pili	is	a part of		a bacterium									bb2a-e90d-6b1f-8855	
a	smooth surface	is	a part of		a sheet of paper									361e-8f98-2bbd-088c	
a	characteristic	is	a part of		the whole									9d6d-0971-e07f-1cf1	
