[FILL] An example of	VERB1	AGENT/OBJECT1	SCOPE1	[FILL] is	AGENT/OBJECT2	VERB2	AGENT/OBJECT3	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
An example of		camouflage		is	organism	having	the same color					as its environment		# 48, refactor?		ece8-8e35-fc83-f487	
An example of		camouflage		is	an organism	looking like	leaves							# Q 960		a61c-a47c-67a8-f86a	
An example of		camouflage		is	an organism	looking like	its environment							# Q 1127		3a90-a5a3-dc27-ca09	
An example of	combining	two substances		is		pouring	one substance					into the other substance		# Q 2134		6526-d3de-375a-2661	
An example of		conservation		is		not using	fossil fuel							#1071		1c25-34e6-67f5-e7a6	
An example of		conservation		is		avoiding	waste							#1071		393b-f9b6-0519-c483	
An example of		conservation		is		turning off	the water					while brushing teeth		#1072		661c-7af5-8c9a-80e9	
An example of a		container		is	room									#412		9e2d-3d7a-89e5-b860	
An example of	creating	an alternative fuel		is		turning	plant material	into	fuel					# Q 2148		3b34-899d-3adf-7bcb	
An example of an		environment		is	a forest; a river; a grassland; an ocean									# 382		e558-47b4-48f0-98a4	
An example of		evaporation		is a	body of water	drying up				by	absorbing heat energy			# Q128		e927-ced3-c5f7-76af	
An example of		evidence	for a scientific theory	is	observations									#540		5075-0322-1096-f7e0	
An example of		hibernation		is	a frog	burying	itself					in mud		#2077		24a1-6da8-dc81-accd	
An example of	hitting	something		is		dropping	an object					onto that something		# Q 1190		ad03-f79e-d18f-eebc	
An example of		hunting		is an	otter	cracking open	clams			with	a rock			# Q 1519		4ba7-d894-3b98-2b11	
An example of	managing; maintaining	the number; the use	of something	is		replacing	that something							#1218		8b1d-776b-ee60-6646	
An example of		mechanical energy		is	an object in motion									#1056		4aca-cf16-fcc6-1f79	
An example of		migration		is		moving	to a warmer climate					in the winter				ffd2-49a5-3027-af07	
An example of		migration		is	birds	flying	south					in the winter				2ad2-04a7-e3e7-916a	
An example of		moisture		is	water vapor							in the atmosphere		# Q4		e7b5-57e9-5c3c-fe3e	
An example of		movement		is		washing away								#417		c755-1627-f4a5-1c08	
An example of		navigation		is		directing	a boat							# Q 107		b545-9af6-bc7b-9854	
An example of	observing	things		is		taking	a picture							# 1284		cf54-a27a-2b05-1c22	
An example of a		physical cycle		is	the water cycle									# Q 146		cfea-1ba2-549b-7d10	
An example of	playing	a musical instrument		is		hitting	the keys of a piano							#1087		aadc-bc4f-81be-06ac	
An example of	playing	a musical instrument		is		strumming	a guitar string							#1801		1d01-8937-52ac-d9af	
An example of 		preparing		is		storing	something	for	use later							267f-c271-3ae7-09ae	
An example of	protecting	the environment		is		creating	protected areas							# Q 101		770d-6c83-0ecd-3e9f	
An example of	protecting	the environment		is		reducing	the amount of waste; the amount of pollutants							# Q 56		d7f6-1eed-ab83-7961	
An example of	recycling			is		using	an object	to	make a new object							5b81-70c7-64a4-f7d2	
An example of	replacing	a natural resource		is		planting	new trees					where a forest once stood		# Q 1714		689c-8e64-fe48-c90e	
An example of		reproduction		is		laying	eggs							#751		ff6d-7abf-97c5-a9c3	
An example of a		seasonal change		is an	animal	growing	thick fur	for	keeping warm			in the winter				7adb-e986-7c30-64d9	
An example of a		seasonal change; adaptation		is	plants	dying;  becoming dormant						in the winter				b2f0-94bd-4545-1416	
An example of 		seed dispersal		is	is an animal	hiding; gathering; burying	seeds							#  Q 474		7119-02f2-0acf-3280	
An example of		seed dispersal		is	animals	eating; excreting	seeds							#1410		3e4c-9c36-623e-f00e	
An example of		stormy weather		is	rain									# 1246		0157-8650-437a-4faa	
An example of	using	tools		is	a chimpanzee	digging	for insects			with	a stick			#808		9cdf-f5b2-8eba-bfd3	
An example of		weathering		is	a plant root	growing	into a crack in rock							#1472		9066-bf57-f1ce-0134	
An example of	collecting	data		is		measuring										ff09-6cad-071f-5a08	
An example of		biometric authentication		is		using	fingerprints	for	identification					# Q 2255		b2fb-0b84-e590-79e0	
An example of		a custom-made product		is	an artificial leg									#2314		962b-32fa-458a-c641	
An example of		asexual reproduction		is	an organism	creating	cells identical to itself					without combining genes from parent cells		#2317		204e-415d-e74c-49d0	
An example of		an assistive device		is	a contact lens									#2326		5ca4-1bee-6a53-e76f	
An example of	exerting	force	on an object	is		lifting	an object							#2334		a6f3-a229-98a1-6245	
An example of		a physical change		is		breaking	an object							#2342		bfd6-6128-4946-9642	
An example of	being	careful		is		avoiding	danger							#Q 2483		af39-03e4-dbfe-22bc	
An example of		a chemical property		is	the elements	making up	a compound							# Q 2491		01e9-8b08-cbae-4187	
An example of		an adaptation	for flight in birds	is	feathers; wings; hollow bones									#2621		9d8b-99f3-0599-8f72	
An example of		biological regulation		is	insulin	being released		to	control the amount of sugar in blood					#2650		4098-98f3-50ee-ff4b	
An example of		an organism	responding to its external environment	is	an animal	jumping						when startled		#2666		5070-3c41-7a34-a25b	
An example of		growth		is	an organism	developing	a new part							#2883		917b-dc51-7700-6380	
An example of		healing		is	a broken bone	growing back together								#2883		5166-6fbd-848b-4777	
An example of		asexual reproduction		is	a plant	sending out	rootlike extensions	to	produce new stems					#2924		8f91-3786-5abf-54e2	
An example of	playing	with toys		is		jumping		to	catch a ball					#2935		c605-12e7-d900-7b24	
An example of	following	orders		is		coming						when called		#2936		eb2e-2ea1-4876-dc3f	
An example of	managing	the use	of something	is		using	less of that something							#2980		0895-6a15-7536-05a4	
An example of	using	less water		is		turning off	the faucet					when brushing teeth		#2980		74ec-cccd-aeaf-f733	
An example of	using	less energy		is		turning off	the light					when leaving a room		#2981		2d8c-3f6b-25ae-5de1	
An example of		a chemical change		is	starch	turning into	sugar				through	reactions with saliva		#3004		faef-a69d-08a2-286d	
An example of		a chemical property		is	how a material	reacts	chemically							#3049		c8e1-3a3e-2e83-fbbc	
An example of		a transverse wave		is	an ocean wave									#3245		4f22-cc4a-c40d-834c	
An example of		safe practice 	in a laboratory	is		tying back	long hair									a405-d37d-53a6-ba4b	
An example of		combustion		is	explosion											c214-1316-7875-9617	
An example of		a chemical change		is	electrical energy	breaking down	a compound									3ad2-9672-21b6-16b9	
An example of		a substance		is	a white, powdery surface											f481-055a-095c-21a2	
An example of	changing 	shape		is		knitting	yarn					into a sweater				41db-9c72-bc14-db92	
An example of		a change	in climate	is 	the average amount of annual precipitation	decreases										72d3-cb8e-b169-88d0	
An example of		waves traveling	through different media	is		hearing	people talking					on the other side of a wall				f131-ee0a-999a-e5f9	
An example of		light traveling	faster than sound	is	people	seeing	the lightnings					before hear the thunder				1bbc-5bee-916f-6a8c	
An example of		an object	with kinetic energy	is	an object	in motion										e1cf-88a5-049d-ec52	
An example of		heat transfer	by convection	is 	heat	rising						in a chimney				4aa3-658a-1ced-63bb	
An example of	using	water		is	a windmill	pumping	water					on a farm				36d2-8ce6-4948-aefd	
An example of	using	metal		is	a construction crew	building	an iron bridge									9692-a5e0-7f32-3858	
An example of	using	natrual gas		is		heating	homes									65d9-9bca-41e4-54c1	
An example of		net decrease 	in kinetic energy	is 	a comet	striking	a planet									9306-4548-1473-330d	
An example of		heat transfer	from the atmosphere to the lithosphere	is	a hurricane	moving						from ocean to land				b699-7a40-560a-a7ef	
An example of	changing	an ecosystem		is	humans	constructing	a housing development					in an ecosystem				b02c-8f78-137e-ce65	
An example of		interaction	between hydrosphere and atmosphere	is	water vapor	rising from oceans		to	form clouds							7e4d-3f57-bf63-66f5	
An example of		a calcium carbonate deposit	in the lithosphere	is	the limestone											b12d-5d9e-96a3-d36a	
An example of	using	renewable energy		is		using	solar energy	to	heat the house							1d23-0d63-0b01-1daf	
An example of		rock expansion		is	rock	thawing										03d0-edc8-38bb-dfb4	
An example of		rock contraction		is	rock	freezing										b363-73f5-8dec-5f0d	
An example of		adaptation		is 	animals	avoid eating	organisms with bright color									5890-f994-1050-8e7f	
An example of		a physical change		is	a phase change											c9d0-76ee-8b56-ea6e	
