[FILL] a/the	QUANTIFIER	OBJECT	QUALIFIER	[FILL] is made of	VALUE	MATERIAL	[FILL] for	FOR/PURPOSE	[FILL] by	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
the	Earth's	atmosphere		is made of	0 to 4 percent	hydrogen; water vapor					by volume		# Q 2443		7051-de21-70b0-8c49	
		iron sulfide		is made of		iron and sulfur							# Q 2447		699d-ec21-19ff-80f4	
a		mixture	usually	is made of		objects with different physical properties							# Q 2451		5572-97eb-29f1-0977	
the		nucleus of an atom	is usually	made of	both	protons and neutrons							# Q 2457		9b34-00dc-73a7-2307	
		organisms		are made of		carbon							#2364		ef5d-99f7-4dcc-592e	
a		molecule		is made of		atoms				chemically combined; bonded			#2374		d227-791c-6134-8fba	
		nails	are often	made of		iron							# Q 2488		1141-2506-451f-587c	
an		atom		is made of		protons; neutrons; electrons							# Q 2507		b5fd-9d86-c99e-9a4e	
a		galaxy		is made of		a group of objects					in space		# Q 2511		b39f-7795-d174-4d35	
a		molecule of water		is made of		2 hydrogen atoms and 1 oxygen atom							# Q 2555		2466-9bd7-3d00-1e20	
a		wolf pack		is made of		wolves							# Q 2702		8529-b309-ee32-2856	
a		candle		is made of		wax							# Q 2706		8c75-dd2b-295a-5625	
a		hydrocarbon molecule		is made of		hydrogen and carbon				chemically combined			# Q 2706		cd58-1219-7d4f-71dc	
		iron oxide; rust; Fe2O3		is made of		iron and oxygen							# Q 2711		8d45-f6e2-c035-067b	
		sugar		is made of		sugar crystals							# Q 2723		29ee-f641-fe14-04fb	
a		lichen		is made of		fungi and green algae					in a symbiotic relationship		# Q 2738		ef7b-e31b-e0e1-a111	
a		symbiotic organism		is made of	two or more	organisms					in a symbiotic relationship		# Q 2738		e18d-5411-b779-abaa	
a		pure substance		is made of	only one kind of	atom; molecule							#2383		d38e-61cd-ac13-a3be	
the		Earth's core		is made of	primarily	iron							#2386		7471-f43d-ac87-6a89	
a		galaxy		is made of		stars							#2398		220e-8d69-4cdf-e5e8	
a		research team		is made of		humans							#2606		6f3e-e326-086d-9541	
		nonliving things	are not	made of		cells							#2638 negation		0771-81b9-a81c-a57c	
a		comet	is often	made of		ice							#2878		ba0f-5df6-2599-9eef	
the	four	planets closest to the sun		are made of		rock							#2920		21c4-9c19-042e-6357	
the	four	planets farthest from the sun		are made of		gas							#2920		538f-8b35-7668-2fbf	
		biological kingdoms		are made of		organisms							#2313		1013-e34e-868a-6525	
an		object		is made of		its parts							#2961		21c4-0d4f-7e3c-12f6	
		white light		is made of	all colors of	visible light				combined			#2961		cf4a-23f5-6f7a-ad27	
		the compounds that make up ocean water		are made of	mostly	oxygen							#3009 ALL USED REPLACED.	ocean contains water. water is made of H and O. O is more common than H.	cf5a-2e64-97f9-f60f	
a		fossil	is not usually	made of		skin							#3083 moveto USEDFOR	SW 8bb7-dde1-bfab-490b	7b91-36a7-164a-be49	
a		multicellular organism		is made of	many	cells							#3133		b500-c807-29eb-78d5	
		foam; bubble		is made of		pockets of gas trapped in a liquid or solid							#3213		ae1c-e111-1ba1-dd20	
an		organ system		is made of	different	parts of the body					working together		#3230		6b71-a4bc-f32c-e206	
		meat		is made of		amino acids							#3327		f606-6885-c29d-ee74	
		living things		are made of		organic molecules							#3360		ad91-dd18-db73-37d6	
a		bicycle		is made of		levers, wheels and axles, pulleys, and screws									50be-644b-a1be-7fb1	
a		nebula		is made of		hydrogen gas and dust							#5462		ef73-b888-5dc2-0888	
		lemonade		is made of		water, lemon juice, and sugar									b4ae-6412-4e0b-76cd	
		metals		are made of		metal									15c9-5f99-7bb2-6d57	
		boots	often	are made of		rubber 									5a53-6ff4-8f61-7afe	
		gloves	often	are made of		rubber 									5a75-9071-6286-9951	
		proteins		are made of	a chain of 20	amino acids									8f6f-b765-8298-2ac5	
		DNA		are made of	two sequences of	nucleotides					linked together				9a8c-9e9d-2f7d-537e	
		RNA	often	are made of	one sequence of	nucleotides									86cc-3b05-0c1c-80d4	
		genes		are made of		DNA									9b09-fb29-9b1b-d5fb	
		composite materials		are made of		two more more materials									8501-bc16-6056-8cc6	
		ice cube		is made of		ice									2c7a-314b-2dd8-2290	
		chromosome		is made of		DNA									f58e-81b5-41d1-9284	
	some	lenses		are made of		plastic									d657-afe4-020d-c1d0	
a		window		is made of		glass									1c2d-a346-dcff-c7a5	
a		hammer	often	is made of		metal									ad82-82a5-0304-0dbc	
a		screwdriver	often	is made of		plastic									69a0-8e2e-8939-96fb	
a		balloon		is made of		rubber 									2846-67c6-d5dd-3a32	
a		beach ball		is made of		rubber 									4e5a-7bc2-924a-0d45	
a		sugar cube		is made of		sugar									6ad4-9728-128f-ca20	
		substances		are made of		elements									7c7a-5e8a-8959-04d6	
		salt		is made of		salt crystals									325f-76df-b90f-5430	
		fiberglass		is made of		glass and plastic									364e-ee85-a7a3-2ed2	
		bricks	often	are made of		clay									4a86-4c2e-d344-45aa	
		solar cells	often	are made of		silicon									4ec0-b548-a2c5-73c1	
		computer chips	often	are made of		silicon									bb9f-a2b3-9f0e-3232	
		snacks	often	are made of	more than one	substances									aa5e-d03f-5978-7026	
		fruit salad	often	is made of 		fruit									f083-819f-4cc4-3f6c	
		iron filings		are made of		small pieces of iron									220c-4dd1-0a7c-8792	
		atoms		are made of		particles									d69e-2e8c-6faf-7c1d	
		substances		are made of		molecules									1f87-3d79-4268-86d2	
		magnesium fluoride; MgF2		is made of		magnesium metal and fluorine									af36-d622-d2f3-3332	
the		continental crust		is made of		rock									7f69-08d0-d06c-d831	
		organisms		are made of	organic	compounds									da2d-6850-c952-aaf1	
		organic compounds	mainly	are made of		carbon; hydrogen; oxygen; nitrogen									4bc4-153f-1e76-5bb4	
		wood chips		are made of		wood									34de-dd35-5026-b2c1	
a		garbage can		is made of		metal									2c99-5f29-91ed-1d2d	
		calcium carbonate		is made of		calcium, carbon, and oxygen									da47-7e63-b857-991e	
		ammonia		is made of		nitrogen and hydrogen									f6c3-31ba-3015-8326	
a		wooden log		is made of		wood									fcc1-b61f-87c5-e847	
		salt water		is made of		salt and water									2dc4-77ae-55ce-4264	
an		indicator		is made of		litmus paper									ff23-001d-0619-c1b5	
an		iron chain		is made of		iron									2035-bfb0-7672-2184	
an		element		is made of	one kind of	atoms									07ab-6aed-2ab3-9846	
		oxygen gas		is made of	only 	oxygen element									0296-03e1-9824-7c18	
		organic compounds		are made of		carbon chains				with other elements attached to it					1b69-2d4b-4748-b6c1	
		all living and nonliving materials		are made of		elements									26c3-b15b-f5be-8d69	
		sugar		is made of		carbon, hydrogen, oxygen									4af3-2008-2732-2547	
		hydrogen chloride		is made of		hydrogen and chlorine									d128-41fe-4cf0-5109	
		sodium carbonate		is made of		sodium, carbon, oxygen									8f00-6ef2-846b-67ff	
		hydrochloric acid		is made of		hydrogen chloride				dissolved	in water				a718-0c28-7b7f-0888	
		cirrus clouds		are made of		ice crystals									1b1a-b18a-58a9-bd2c	
		carbohydrates		are made of		glucose molecules				bonding together					0962-cd10-4a15-81a4	
a		toaster		is made of	a	heating element	for	toasting							bf61-e734-bdfa-d29a	
		sunlight		is made of		ultraviolet, infrared, and visible light									78fa-2af9-0a4b-0688	
		visible light		is made of		lights of different colors					including violet, blue, green, yellow, orange, red light				34f3-92ba-d499-92d5	
		light		is made of		photons									9c83-1db2-9a50-f99a	
		Saturn's rings		are made of		ice and rock									1675-de16-74a0-277b	
	some	lenses		are made of		glass									0422-48af-5034-1f72	
a		prism		is made of		glass									096f-f1e8-775b-069d	
the		sun		is made of		hydrogen and helium									1572-7435-ca51-53b2	
		new solar systems		are made of		dust and gas									774a-cf9f-8a9a-8748	
a		solar panel		is made of		solar cells									432f-babd-5745-f060	
a		cluster of stars		is made of		stars									7c7a-4994-dd79-0ff6	
an		asteroid		is made of		rock and metal									5176-3fa3-1864-7af6	
a		comet		is made of		ice, gases, and dust									1e83-a2f6-f1a7-08d0	
		objects	generally	are made of		ice					in the Kuiper Belt				4888-cd90-6a60-b6cc	
		objects	generally	are made of		ice					in the Oort Cloud				5e95-e427-f58b-12a4	
the		atmosphere of Jovian planets		are made of		helium and hydrogen									31b0-8e60-a422-d200	
		plant parts		are made of		plants									ed05-7140-7262-f394	
		glass		is made of		sand									3b79-b655-0b5c-8149	
		tires	generally	are made of		rubber 									f464-751c-6b65-e7b5	
		cardboard boxes		are made of		cardboard									1750-6996-407d-4377	
		glass bottles		are made of		glass									2d2a-8cc1-f077-b8a3	
		paper cups		are made of		paper									8ed2-49e1-4871-d2db	
		plastic tape		is made of		plastic									ce7a-114f-df9f-ef90	
the		hydrosphere		is made of		water									3621-aa38-4c17-daee	
the		lithosphere		is made of		rocks									d2cd-276c-94e5-8b01	
		ceramic tiles		are made of		ceramic									6e94-8c7a-6c3d-4c22	
a		single-celled organism		is made of	only one	cell									eae6-6cb1-797a-dd95	
the		atomic mass		is made of		the number of protons and neutrons								move to action, "determined by"	b770-254b-54ed-7b47	
a		rubber brush		is made of		rubber 									75a9-0bfd-4d9f-166c	
a		molecule of oxygen		is made of	two	oxygen atoms				chemically combined					161d-e118-5265-ca7c	
the		structure of an atom		is made of		a massive nucleus				surrounded by electrons					c79f-d1c0-fac6-daf1	
		limestone		is made of		calcium carbonate									496d-aaff-52fb-1417	
the		oceanic crust	mainly	is made of		basalt									cd15-e19f-13ce-38db	
the		continental crust	mainly	is made of		granite									371f-672e-9353-327d	
		humus		is made of		dead plants; dead animals									25ca-113e-fd20-fb52	
the		driveway	sometimes	is made of		rocks									9b8b-d508-1009-00ed	
		sandstones		are made of		sand									0ec8-fdcb-9b14-976c	
a		fossil record		is made of	a group of	fossils				arranged in order					69b7-31d6-34ef-cdb1	
the		outer core of Earth		is made of		liquid molten iron and nickel									3120-b4c5-9895-c03a	
the		inner core of Earth		is made of		solid mixture of iron and nickel									94c6-2356-6177-9cd0	
		carbon dioxide	can	be made of		carbon and oxygen				chemically combined					239b-02c3-400f-0319	
a		plastic bag		is made of		plastic									3e43-1ce3-7ea9-47a4	
a		metal can		is made of		metal									3e40-ab00-6f9a-4408	
		mud		is made of		soil and water							mixture fact	SW 28c5-39d4-ed9f-09f4	1c73-5676-29bb-8331	
a		process		is made of	a series of	actions									850f-2221-d5ef-26e5	
		dough		is made of		sugar, butter, flour and salt									0338-0a89-946d-e6e5	
		wood boards		are made of		wood									eeb1-af71-fb8d-a499	
a		streak plate		is made of		tile									c334-3e9a-cb63-b032	
